epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6859,1.13604,1.31613,1.14064,0.97965,0.98612,0.99164,0.72821,0.42966,43.1907,0.40048,0.000660066,0.000660066,0.000660066
2,32.5471,0.96265,0.69624,1.04459,0.95606,0.98302,0.98935,0.82435,0.28019,80.7476,0.36626,0.00130922,0.00130922,0.00130922
3,47.3226,0.93189,0.64995,1.03748,0.97551,0.98382,0.99304,0.85298,0.24242,213.303,0.35367,0.00194077,0.00194077,0.00194077
4,61.7202,0.91117,0.60588,1.03288,0.99262,0.99759,0.99464,0.87375,0.22127,28.8743,0.35211,0.0019208,0.0019208,0.0019208
5,75.9354,0.86878,0.54092,1.01448,0.98196,1,0.99397,0.79628,0.32911,99.8246,0.37737,0.0018944,0.0018944,0.0018944
6,90.3841,0.86359,0.50097,1.01334,0.9954,1,0.99496,0.89149,0.20002,47.1566,0.34612,0.001868,0.001868,0.001868
7,104.677,0.79937,0.45761,0.98273,0.9883,1,0.995,0.89498,0.202,106.486,0.34508,0.0018416,0.0018416,0.0018416
8,118.95,0.84424,0.4701,1.00546,0.99852,1,0.995,0.90083,0.19109,54.839,0.34197,0.0018152,0.0018152,0.0018152
9,133.178,0.77486,0.43677,0.97357,0.99586,1,0.995,0.91203,0.17681,46.2146,0.33781,0.0017888,0.0017888,0.0017888
10,147.804,0.77903,0.43167,0.97562,0.99712,0.99819,0.99499,0.89131,0.21631,32.9064,0.34758,0.0017624,0.0017624,0.0017624
11,161.852,0.77222,0.42364,0.97758,0.9958,0.99976,0.995,0.77613,0.38366,10.6042,0.38928,0.001736,0.001736,0.001736
12,176.194,0.74725,0.40258,0.96474,0.99513,0.99639,0.99487,0.8955,0.2015,30.9861,0.34484,0.0017096,0.0017096,0.0017096
13,190.577,0.75331,0.41211,0.96848,0.99523,0.9994,0.99492,0.91532,0.18078,28.3483,0.3395,0.0016832,0.0016832,0.0016832
14,205.712,0.76055,0.40449,0.97002,0.98606,0.99217,0.99385,0.85182,0.24446,26.3857,0.35814,0.0016568,0.0016568,0.0016568
15,220.68,0.7301,0.38497,0.95518,0.99957,1,0.995,0.91456,0.18029,29.471,0.33883,0.0016304,0.0016304,0.0016304
16,235.731,0.72383,0.39118,0.9557,0.9976,0.99988,0.995,0.91852,0.18339,6.816,0.34002,0.001604,0.001604,0.001604
17,250.684,0.71526,0.38487,0.95403,0.99759,0.99796,0.995,0.92626,0.16809,20.9285,0.33592,0.0015776,0.0015776,0.0015776
18,265.303,0.71162,0.37995,0.95222,0.99505,1,0.99492,0.92662,0.1705,21.4047,0.3356,0.0015512,0.0015512,0.0015512
19,280.086,0.69859,0.36706,0.94799,0.99586,1,0.995,0.92729,0.16577,33.8137,0.33582,0.0015248,0.0015248,0.0015248
20,294.894,0.69879,0.37479,0.945,0.99916,1,0.995,0.9314,0.16424,16.323,0.33609,0.0014984,0.0014984,0.0014984
21,309.668,0.66938,0.35517,0.9341,0.99133,0.99759,0.99498,0.93188,0.15847,68.8071,0.33379,0.001472,0.001472,0.001472
22,324.298,0.68153,0.35828,0.9404,0.99785,1,0.995,0.93124,0.15793,31.1163,0.33314,0.0014456,0.0014456,0.0014456
23,339,0.6833,0.3627,0.94063,0.99694,1,0.995,0.89795,0.19795,19.1398,0.34211,0.0014192,0.0014192,0.0014192
24,354.282,0.68117,0.35555,0.94118,0.99317,1,0.99499,0.91658,0.18019,87.4611,0.33814,0.0013928,0.0013928,0.0013928
25,369.424,0.65969,0.34881,0.9302,0.99889,1,0.995,0.94219,0.15619,29.1908,0.33297,0.0013664,0.0013664,0.0013664
26,384.234,0.67365,0.3528,0.93707,0.99754,1,0.995,0.94523,0.15468,17.6276,0.33302,0.00134,0.00134,0.00134
27,399.369,0.65346,0.34398,0.92961,0.99732,1,0.995,0.93808,0.15793,41.1244,0.33312,0.0013136,0.0013136,0.0013136
28,414.316,0.63811,0.33676,0.92204,0.99721,1,0.995,0.9336,0.16172,16.603,0.33462,0.0012872,0.0012872,0.0012872
29,429.327,0.63761,0.33469,0.9234,0.9982,0.99991,0.995,0.91588,0.18511,4.43054,0.33968,0.0012608,0.0012608,0.0012608
30,444.499,0.65914,0.33954,0.93214,0.99876,1,0.995,0.92924,0.16102,9.94763,0.33385,0.0012344,0.0012344,0.0012344
31,459.413,0.61522,0.32536,0.9191,0.99663,1,0.995,0.94268,0.1518,27.1476,0.33245,0.001208,0.001208,0.001208
32,474.093,0.60977,0.32571,0.91511,0.99965,0.9994,0.995,0.93291,0.16873,2.23463,0.33584,0.0011816,0.0011816,0.0011816
33,488.744,0.63239,0.33166,0.92219,0.99989,1,0.995,0.91866,0.1745,4.19799,0.33503,0.0011552,0.0011552,0.0011552
34,503.393,0.61967,0.3241,0.91754,0.99975,1,0.995,0.94093,0.15423,22.8172,0.33302,0.0011288,0.0011288,0.0011288
35,518.018,0.638,0.33434,0.92562,0.99796,1,0.995,0.94626,0.14758,12.6442,0.33139,0.0011024,0.0011024,0.0011024
36,538.951,0.61434,0.3228,0.91664,0.99745,1,0.995,0.9436,0.14909,12.9437,0.33129,0.001076,0.001076,0.001076
37,560.664,0.59599,0.31543,0.90782,0.99984,1,0.995,0.93998,0.16121,4.4071,0.33364,0.0010496,0.0010496,0.0010496
38,582.014,0.60267,0.31694,0.91278,0.99729,1,0.995,0.95021,0.14481,37.9727,0.33106,0.0010232,0.0010232,0.0010232
39,603.269,0.60678,0.31911,0.914,0.99513,1,0.995,0.9475,0.14406,9.01809,0.3308,0.0009968,0.0009968,0.0009968
40,621.114,0.6006,0.31544,0.91049,0.99741,1,0.995,0.95049,0.14824,10.5167,0.33155,0.0009704,0.0009704,0.0009704
41,637.052,0.61797,0.31898,0.91815,0.99974,1,0.995,0.94714,0.14502,5.64851,0.33087,0.000944,0.000944,0.000944
42,654.423,0.57392,0.30374,0.9027,0.99832,1,0.995,0.95115,0.14015,4.59784,0.32971,0.0009176,0.0009176,0.0009176
43,675.951,0.57131,0.30317,0.90214,0.99872,1,0.995,0.95361,0.13986,8.08628,0.32956,0.0008912,0.0008912,0.0008912
44,697.786,0.56978,0.30025,0.90223,0.99952,0.9994,0.995,0.94352,0.15036,5.02056,0.33155,0.0008648,0.0008648,0.0008648
45,719.256,0.58443,0.30555,0.9064,0.99989,1,0.995,0.95268,0.14154,3.9323,0.33016,0.0008384,0.0008384,0.0008384
46,740.407,0.56831,0.29942,0.90085,0.9994,0.99956,0.995,0.95435,0.14194,11.9424,0.33056,0.000812,0.000812,0.000812
47,762.64,0.54881,0.29197,0.89322,0.99931,1,0.995,0.95642,0.1372,14.5886,0.32966,0.0007856,0.0007856,0.0007856
48,786.301,0.55747,0.29589,0.89752,0.99969,1,0.995,0.95335,0.13851,3.06326,0.33001,0.0007592,0.0007592,0.0007592
49,808.232,0.55965,0.29796,0.89851,0.99717,1,0.995,0.95726,0.13919,3.6335,0.33019,0.0007328,0.0007328,0.0007328
