epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92111,0.85928,2.95209,1.08686,0.03954,1,0.71441,0.52948,0.35124,9.41402,0.43017,0.0002,0.0002,0.0002
2,7.5622,0.78269,1.15496,0.94728,0.97667,0.98829,0.9938,0.78845,0.33011,8.55696,0.4139,0.00041406,0.00041406,0.00041406
3,10.0247,0.7157,0.83086,0.93815,0.99618,0.98361,0.99488,0.86886,0.27689,4.33755,0.41107,0.000621897,0.000621897,0.000621897
4,12.7558,0.6364,0.70137,0.92608,1,0.99753,0.995,0.87322,0.27374,4.05063,0.41131,0.000823511,0.000823511,0.000823511
5,15.2677,0.66479,0.65995,0.9111,1,0.99751,0.995,0.87652,0.26121,3.50492,0.40338,0.0010189,0.0010189,0.0010189
6,17.5887,0.61715,0.63588,0.90562,0.99976,1,0.995,0.86319,0.27173,2.85246,0.4085,0.00120807,0.00120807,0.00120807
7,19.7818,0.63233,0.76821,0.9079,0.99934,1,0.995,0.89964,0.23007,2.97379,0.39612,0.00139102,0.00139102,0.00139102
8,22.051,0.63355,0.60381,0.90138,0.99481,1,0.995,0.89274,0.23161,3.36964,0.39525,0.00156774,0.00156774,0.00156774
9,24.2893,0.60549,0.64784,0.89689,0.99733,1,0.995,0.88927,0.23899,3.24147,0.40028,0.00173824,0.00173824,0.00173824
10,26.6624,0.5777,0.6018,0.89055,0.99979,1,0.995,0.88531,0.24955,2.98122,0.40163,0.00174543,0.00174543,0.00174543
11,29.1322,0.58655,0.57561,0.89924,0.99985,1,0.995,0.90302,0.21756,2.94937,0.39336,0.00171714,0.00171714,0.00171714
12,31.3802,0.56423,0.54068,0.88275,0.99981,1,0.995,0.90786,0.20944,2.73599,0.3919,0.00168886,0.00168886,0.00168886
13,33.6804,0.54459,0.49911,0.87974,0.99982,1,0.995,0.91403,0.20669,2.55624,0.39003,0.00166057,0.00166057,0.00166057
14,35.9027,0.55764,0.52745,0.88302,0.99983,1,0.995,0.90077,0.21542,2.04627,0.39355,0.00163229,0.00163229,0.00163229
15,38.1695,0.54801,0.6941,0.87539,0.99985,1,0.995,0.92013,0.2012,1.8327,0.39023,0.001604,0.001604,0.001604
16,40.4561,0.52506,0.48125,0.87355,0.99982,1,0.995,0.90624,0.20781,2.91242,0.3907,0.00157571,0.00157571,0.00157571
17,42.621,0.52799,0.47226,0.87376,0.99983,1,0.995,0.89839,0.22452,3.41698,0.39406,0.00154743,0.00154743,0.00154743
