epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,130.214,1.10636,0.60512,1.27912,0.9993,1,0.995,0.50161,0.91225,3.93683,0.74393,0.0018614,0.0018614,0.0018614
44,133,1.02604,0.57876,1.22637,0.99507,1,0.9944,0.65121,0.66949,3.34288,0.57166,0.0018581,0.0018581,0.0018581
45,135.852,1.13431,0.61074,1.28821,0.99909,1,0.995,0.76623,0.45012,2.99052,0.50782,0.0018548,0.0018548,0.0018548
46,138.71,1.06899,0.58868,1.25771,0.97394,0.99759,0.9909,0.80306,0.37486,20.0114,0.49785,0.0018515,0.0018515,0.0018515
47,141.483,1.13626,0.59549,1.30403,0.98573,0.99894,0.99324,0.49606,0.91287,19.4778,0.76526,0.0018482,0.0018482,0.0018482
48,144.304,1.06343,0.58437,1.26657,0.99725,0.99759,0.995,0.77199,0.43212,4.88063,0.51721,0.0018449,0.0018449,0.0018449
49,147.155,1.09026,0.59054,1.27871,0.78797,0.86265,0.88807,0.5222,0.5181,20.3477,0.59222,0.0018416,0.0018416,0.0018416
50,149.934,1.13392,0.59777,1.31429,0.98773,0.99036,0.99481,0.67977,0.55672,11.576,0.56776,0.0018383,0.0018383,0.0018383
51,152.884,1.15808,0.59996,1.28806,0.99376,0.99759,0.99498,0.82749,0.36087,9.78737,0.50056,0.001835,0.001835,0.001835
52,155.763,1.10425,0.60058,1.28509,0.9986,1,0.995,0.77049,0.44021,10.822,0.52378,0.0018317,0.0018317,0.0018317
53,158.572,1.02813,0.57746,1.2343,0.99441,1,0.99343,0.73344,0.47388,8.16181,0.53463,0.0018284,0.0018284,0.0018284
54,161.355,1.04038,0.57297,1.24855,0.99981,1,0.995,0.50224,0.94372,0.73656,0.7276,0.0018251,0.0018251,0.0018251
55,164.177,1.06449,0.56508,1.25734,0.99965,1,0.995,0.72312,0.53999,2.19127,0.54855,0.0018218,0.0018218,0.0018218
56,166.974,1.07548,0.57436,1.26228,0.99759,0.99935,0.995,0.83893,0.34909,5.25078,0.48598,0.0018185,0.0018185,0.0018185
57,169.772,1.01434,0.54646,1.22323,0.99745,1,0.995,0.83451,0.34823,2.49099,0.47996,0.0018152,0.0018152,0.0018152
58,172.749,1.05114,0.56307,1.2479,0.99681,1,0.99498,0.81592,0.35635,5.58148,0.47681,0.0018119,0.0018119,0.0018119
59,175.525,1.00449,0.54282,1.22019,0.9974,1,0.995,0.56569,0.76947,1.93937,0.64852,0.0018086,0.0018086,0.0018086
60,178.295,1.02207,0.53507,1.23598,0.9994,1,0.995,0.66917,0.62485,0.73018,0.57238,0.0018053,0.0018053,0.0018053
61,181.173,1.04327,0.55425,1.24076,0.99973,1,0.995,0.69428,0.58492,0.86738,0.56103,0.001802,0.001802,0.001802
62,183.937,1.08027,0.55968,1.26631,0.9996,1,0.995,0.57566,0.80614,1.23299,0.65193,0.0017987,0.0017987,0.0017987
63,186.718,1.04728,0.55775,1.2331,0.99922,1,0.995,0.54904,0.84839,1.48558,0.67765,0.0017954,0.0017954,0.0017954
64,189.465,0.99834,0.54049,1.22866,0.99505,0.99518,0.9939,0.28968,1.35247,1.0283,1.10394,0.0017921,0.0017921,0.0017921
65,192.367,1.04535,0.55372,1.24907,0.99946,1,0.995,0.54728,0.794,0.67292,0.69337,0.0017888,0.0017888,0.0017888
66,195.135,1.06185,0.56211,1.24686,0.99956,1,0.995,0.78823,0.42065,0.82759,0.47862,0.0017855,0.0017855,0.0017855
67,197.974,1.03771,0.54165,1.24094,0.99439,1,0.995,0.60909,0.68841,29.0451,0.59253,0.0017822,0.0017822,0.0017822
68,200.809,1.07743,0.55729,1.26114,0.99745,1,0.995,0.71861,0.51144,4.40117,0.53203,0.0017789,0.0017789,0.0017789
69,203.608,1.04531,0.53598,1.24658,0.99745,1,0.995,0.55218,0.84299,3.81133,0.67754,0.0017756,0.0017756,0.0017756
70,206.373,1.02297,0.5345,1.22647,0.99414,1,0.99495,0.57212,0.79443,6.53448,0.61697,0.0017723,0.0017723,0.0017723
71,209.185,1.00951,0.54192,1.21202,0.99471,1,0.99495,0.84122,0.34178,3.27858,0.46658,0.001769,0.001769,0.001769
72,212.013,0.99424,0.51568,1.20383,0.99333,0.99759,0.99498,0.76428,0.45695,0.4135,0.51601,0.0017657,0.0017657,0.0017657
73,214.771,1.03066,0.53241,1.23076,0.99737,1,0.99498,0.56271,0.79469,0.31101,0.68013,0.0017624,0.0017624,0.0017624
74,217.598,1.01195,0.53405,1.2266,0.99983,1,0.995,0.62845,0.70962,0.31711,0.63017,0.0017591,0.0017591,0.0017591
75,220.425,1.00088,0.52614,1.21405,0.99919,1,0.995,0.43791,0.99339,2.49519,0.8819,0.0017558,0.0017558,0.0017558
76,223.24,1.01399,0.52581,1.23064,0.99756,1,0.995,0.82743,0.35154,3.21592,0.47271,0.0017525,0.0017525,0.0017525
77,226.047,0.99464,0.52645,1.20941,0.9976,0.99996,0.995,0.83643,0.32836,1.03477,0.4645,0.0017492,0.0017492,0.0017492
78,228.838,1.01548,0.52919,1.22802,0.99946,1,0.995,0.65932,0.63521,2.034,0.58106,0.0017459,0.0017459,0.0017459
79,231.62,0.99439,0.51064,1.21815,0.99628,1,0.995,0.82389,0.35342,12.8744,0.47244,0.0017426,0.0017426,0.0017426
80,234.363,0.99064,0.51099,1.19842,0.9952,0.99996,0.995,0.82083,0.36782,5.34426,0.47758,0.0017393,0.0017393,0.0017393
81,237.192,1.05288,0.5449,1.24011,0.99897,1,0.995,0.66329,0.59179,3.39656,0.5413,0.001736,0.001736,0.001736
82,240.002,1.0296,0.53008,1.23055,0.99942,1,0.995,0.86001,0.31368,1.46203,0.46111,0.0017327,0.0017327,0.0017327
83,242.843,1.00642,0.52403,1.21705,0.99737,1,0.995,0.77039,0.43846,1.04149,0.51056,0.0017294,0.0017294,0.0017294
84,245.6,0.97394,0.51696,1.20565,0.99895,1,0.995,0.78736,0.40123,2.80721,0.48787,0.0017261,0.0017261,0.0017261
85,248.668,0.9958,0.51488,1.21028,0.99689,1,0.995,0.82925,0.33462,2.96112,0.46787,0.0017228,0.0017228,0.0017228
86,251.485,0.95294,0.48791,1.17571,0.99829,1,0.995,0.76059,0.46676,3.0961,0.50183,0.0017195,0.0017195,0.0017195
87,254.313,1.01505,0.51079,1.21207,0.99979,1,0.995,0.66565,0.64674,0.42257,0.56827,0.0017162,0.0017162,0.0017162
88,257.275,0.99107,0.5119,1.21092,0.99982,1,0.995,0.67407,0.63373,0.29068,0.5531,0.0017129,0.0017129,0.0017129
89,260.233,0.98764,0.53092,1.21335,0.9996,1,0.995,0.61944,0.68797,1.24735,0.60199,0.0017096,0.0017096,0.0017096
