epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.409,2.58623,3.48426,2.45662,0.10769,0.98361,0.43234,0.35849,0.53352,2.40632,0.85653,6e-05,6e-05,6e-05
2,19.6785,2.51944,3.42724,2.41717,0.72428,0.73207,0.73251,0.47723,1.21394,1.29394,1.18712,0.000138614,0.000138614,0.000138614
3,31.0639,1.59096,1.51761,1.66882,0.94809,0.94104,0.97376,0.23493,2.60389,2.42464,2.6574,0.000215644,0.000215644,0.000215644
4,40.0075,1.51041,0.83188,1.54808,0.08641,0.78923,0.08258,0.03308,2.84547,9.9542,3.95537,0.00029109,0.00029109,0.00029109
5,48.5588,1.35393,0.79089,1.44619,0.99765,0.99297,0.99352,0.35905,2.36626,4.08731,2.28046,0.000364952,0.000364952,0.000364952
6,57.3563,1.21691,0.73478,1.33746,0.86733,0.87119,0.84863,0.15213,3.24511,3.64588,4.18148,0.00043723,0.00043723,0.00043723
7,66.9456,1.17073,0.69225,1.28983,0.88855,0.8962,0.8592,0.17194,2.99798,3.80701,3.59761,0.000507924,0.000507924,0.000507924
8,76.3734,1.20255,0.62203,1.28431,0.00795,0.0726,0.00428,0.00105,5.55242,38.5756,14.8851,0.000577034,0.000577034,0.000577034
9,86.3831,1.36282,0.6709,1.38544,0.05648,0.48478,0.04276,0.00646,3.76596,inf,14.0113,0.00064456,0.00064456,0.00064456
10,95.186,1.34315,0.66225,1.36921,0.06103,0.55738,0.04963,0.01668,2.9495,inf,29.3094,0.000710502,0.000710502,0.000710502
11,106.116,1.19408,0.61847,1.29948,0.00051,0.00468,0.00026,3e-05,5.98503,inf,129.51,0.00077486,0.00077486,0.00077486
12,116.963,1.17875,0.59814,1.28188,0.00068,0.00234,0.00033,0.0001,nan,nan,nan,0.000837634,0.000837634,0.000837634
13,127.608,1.23774,0.62219,1.31112,0.00711,0.06323,0.0038,0.00054,nan,nan,nan,0.000898824,0.000898824,0.000898824
14,136.031,1.07238,0.58416,1.2237,0.00333,0.03044,0.00179,0.00034,3.63044,inf,38.1892,0.00095843,0.00095843,0.00095843
15,144.312,1.16576,0.60492,1.2645,0.00026,0.00234,0.00013,6e-05,nan,nan,nan,0.00101645,0.00101645,0.00101645
16,151.39,1.09451,0.57962,1.22494,0.00026,0.00234,0.00013,9e-05,4.61657,inf,264.049,0.00107289,0.00107289,0.00107289
17,159.687,1.09722,0.57452,1.25357,0.00077,0.00703,0.0004,8e-05,nan,nan,nan,0.00112774,0.00112774,0.00112774
18,168.303,1.05222,0.58011,1.21713,0,0,0,0,nan,nan,nan,0.00118101,0.00118101,0.00118101
19,173.981,1.04523,0.5933,1.24818,0,0,0,0,nan,nan,nan,0.0012327,0.0012327,0.0012327
20,180.822,1.05682,0.55546,1.20619,0,0,0,0,nan,nan,nan,0.0012828,0.0012828,0.0012828
21,188.898,1.06749,0.55524,1.19793,0,0,0,0,nan,nan,nan,0.00133132,0.00133132,0.00133132
22,197.982,1.102,0.55372,1.2579,0,0,0,0,nan,nan,nan,0.00137825,0.00137825,0.00137825
23,206.8,1.7776,0.68035,1.62425,0,0,0,0,nan,nan,nan,0.0014236,0.0014236,0.0014236
24,214.436,1.25427,0.63381,1.3439,0,0,0,0,nan,nan,nan,0.00146737,0.00146737,0.00146737
25,222.436,1.31164,0.64506,1.36723,0.00897,0.08197,0.00486,0.00142,2.84821,inf,16.2807,0.00150955,0.00150955,0.00150955
26,231.388,1.0795,0.59619,1.23845,0.0124,0.03981,0.00513,0.00092,4.00686,47.9595,31.0671,0.001505,0.001505,0.001505
27,240.264,1.05859,0.53776,1.20986,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,247.885,1.12281,0.56532,1.23138,0,0,0,0,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,255.068,1.20664,0.57251,1.29107,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,263.146,1.0513,0.55098,1.20587,0.04084,0.25059,0.02544,0.00388,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,269.668,1.15688,0.59842,1.27006,0.0713,0.09368,0.0329,0.00628,nan,nan,nan,0.001406,0.001406,0.001406
32,276.085,1.19905,0.60432,1.26708,0.01969,0.01171,0.01042,0.00458,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,282.605,1.17785,0.60314,1.2967,0.33333,0.00234,0.16705,0.03341,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,290.526,1.09666,0.59131,1.23668,0,0,0,0,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,299.515,1.048,0.53453,1.22489,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,305.748,1.12146,0.53208,1.24894,0.00787,0.00468,0.00396,0.0004,nan,nan,nan,0.001307,0.001307,0.001307
37,314.353,1.06238,0.52307,1.22594,0.01198,0.03279,0.00626,0.00224,3.36347,6.1046,4.29732,0.0012872,0.0012872,0.0012872
38,322.282,0.98344,0.50642,1.16431,0.01989,0.16393,0.01843,0.00797,3.18516,4.66753,3.2995,0.0012674,0.0012674,0.0012674
