epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,302.121,0.71448,0.40531,0.96727,0.99335,1,0.99498,0.90109,0.43458,0.28061,0.79189,0.0011486,0.0011486,0.0011486
45,308.62,0.697,0.39173,0.95006,0.97974,1,0.99389,0.85394,0.61974,0.32636,0.835,0.0011288,0.0011288,0.0011288
46,315.136,0.69338,0.39607,0.96353,0.99713,1,0.995,0.9166,0.41905,0.25316,0.78787,0.001109,0.001109,0.001109
47,321.546,0.69184,0.37965,0.95266,0.99813,1,0.995,0.93264,0.38796,0.26081,0.78431,0.0010892,0.0010892,0.0010892
48,328.04,0.69496,0.37272,0.95257,0.99672,1,0.995,0.93134,0.38523,0.25923,0.78364,0.0010694,0.0010694,0.0010694
49,334.66,0.66421,0.36047,0.9448,0.99871,1,0.995,0.92862,0.39693,0.23474,0.78256,0.0010496,0.0010496,0.0010496
50,341.444,0.65383,0.36139,0.93417,0.99879,1,0.995,0.93189,0.37313,0.24276,0.77949,0.0010298,0.0010298,0.0010298
51,348.148,0.66859,0.3613,0.93987,0.99775,1,0.995,0.9154,0.41606,0.25771,0.78653,0.00101,0.00101,0.00101
52,354.798,0.66879,0.36629,0.94591,0.99136,1,0.99375,0.93378,0.3711,0.25597,0.78189,0.0009902,0.0009902,0.0009902
53,361.073,0.6609,0.37393,0.94995,0.99936,1,0.995,0.93053,0.39341,0.24991,0.78467,0.0009704,0.0009704,0.0009704
54,367.421,0.6857,0.36543,0.95601,0.99951,1,0.995,0.92812,0.39145,0.24342,0.78135,0.0009506,0.0009506,0.0009506
55,374.09,0.71046,0.36763,0.96365,0.99962,1,0.995,0.9191,0.4202,0.24688,0.78833,0.0009308,0.0009308,0.0009308
56,380.801,0.69028,0.36664,0.95526,0.99687,1,0.995,0.91438,0.4284,0.27356,0.79001,0.000911,0.000911,0.000911
57,387.478,0.67141,0.36417,0.93746,0.99009,1,0.995,0.93155,0.37055,0.27545,0.77979,0.0008912,0.0008912,0.0008912
58,394.328,0.66198,0.35422,0.94935,0.99774,1,0.995,0.94084,0.36143,0.23374,0.77873,0.0008714,0.0008714,0.0008714
59,400.771,0.64653,0.35955,0.93978,0.99744,1,0.995,0.93396,0.36245,0.228,0.78112,0.0008516,0.0008516,0.0008516
60,407.285,0.68244,0.36674,0.95409,0.99918,1,0.995,0.91717,0.41457,0.24824,0.78511,0.0008318,0.0008318,0.0008318
61,413.89,0.67904,0.36104,0.95077,0.99976,1,0.995,0.93641,0.36065,0.22459,0.78012,0.000812,0.000812,0.000812
62,420.382,0.66077,0.35734,0.9434,0.99497,1,0.995,0.91323,0.40487,0.27962,0.78399,0.0007922,0.0007922,0.0007922
63,426.775,0.65548,0.35378,0.93848,0.99646,1,0.995,0.91779,0.40956,0.2456,0.78707,0.0007724,0.0007724,0.0007724
64,433.624,0.65922,0.35467,0.93726,0.99746,1,0.995,0.93035,0.38112,0.24248,0.77891,0.0007526,0.0007526,0.0007526
65,440.604,0.63616,0.34402,0.93299,0.99976,1,0.995,0.93146,0.3884,0.2219,0.78221,0.0007328,0.0007328,0.0007328
66,447.062,0.66405,0.35542,0.93654,0.99967,1,0.995,0.9275,0.39374,0.24201,0.78069,0.000713,0.000713,0.000713
67,453.576,0.66914,0.34584,0.95436,0.99916,1,0.995,0.93183,0.37194,0.23451,0.78118,0.0006932,0.0006932,0.0006932
68,460.07,0.63497,0.3462,0.93775,0.99856,1,0.995,0.93821,0.36124,0.22326,0.77839,0.0006734,0.0006734,0.0006734
69,466.733,0.619,0.36925,0.92354,0.99679,1,0.995,0.93283,0.37439,0.22329,0.78057,0.0006536,0.0006536,0.0006536
70,473.944,0.63875,0.33879,0.92895,0.99855,1,0.995,0.93937,0.35997,0.21782,0.77668,0.0006338,0.0006338,0.0006338
71,480.338,0.60503,0.3254,0.91821,0.99824,1,0.995,0.94134,0.35651,0.22487,0.77615,0.000614,0.000614,0.000614
72,486.838,0.59953,0.32414,0.92239,0.9992,1,0.995,0.93822,0.35736,0.21805,0.77533,0.0005942,0.0005942,0.0005942
73,493.21,0.64453,0.33551,0.9439,0.99951,1,0.995,0.92577,0.39876,0.21291,0.78386,0.0005744,0.0005744,0.0005744
74,499.639,0.64096,0.3335,0.93769,0.99894,1,0.995,0.94111,0.34994,0.22287,0.77503,0.0005546,0.0005546,0.0005546
75,505.958,0.64294,0.33573,0.94277,0.99908,1,0.995,0.94473,0.35257,0.2121,0.77405,0.0005348,0.0005348,0.0005348
76,512.427,0.63129,0.33039,0.93429,0.99862,1,0.995,0.94075,0.36846,0.2255,0.77631,0.000515,0.000515,0.000515
77,518.931,0.63346,0.33552,0.92982,0.99882,1,0.995,0.94266,0.36065,0.21452,0.77784,0.0004952,0.0004952,0.0004952
78,525.286,0.58871,0.32089,0.9127,0.99915,1,0.995,0.94354,0.35932,0.21024,0.77629,0.0004754,0.0004754,0.0004754
79,531.819,0.59404,1.12898,0.89546,0.99862,1,0.995,0.9442,0.35463,0.20936,0.77703,0.0004556,0.0004556,0.0004556
80,538.223,0.59844,0.32046,0.91592,0.99868,1,0.995,0.95005,0.3404,0.20994,0.77346,0.0004358,0.0004358,0.0004358
81,544.656,0.59613,0.31836,0.91673,0.99904,1,0.995,0.95082,0.34385,0.21114,0.77365,0.000416,0.000416,0.000416
82,551.156,0.58774,0.30947,0.91476,0.99372,1,0.995,0.93587,0.37058,0.22754,0.77984,0.0003962,0.0003962,0.0003962
83,557.563,0.60131,0.31723,0.91642,0.99444,1,0.995,0.94694,0.34626,0.21816,0.77425,0.0003764,0.0003764,0.0003764
84,564.214,0.57437,0.30908,0.90821,0.99483,1,0.995,0.94675,0.34028,0.21028,0.77323,0.0003566,0.0003566,0.0003566
85,570.533,0.59794,0.31293,0.91648,0.99857,1,0.995,0.94642,0.3487,0.20458,0.77475,0.0003368,0.0003368,0.0003368
86,577.162,0.58039,0.31329,0.90994,0.99888,1,0.995,0.9501,0.34217,0.2038,0.77384,0.000317,0.000317,0.000317
87,583.83,0.58133,0.309,0.90689,0.99817,1,0.995,0.94478,0.35742,0.20732,0.77491,0.0002972,0.0002972,0.0002972
88,590.736,0.57766,0.30535,0.90686,0.99872,1,0.995,0.95402,0.33765,0.19607,0.77266,0.0002774,0.0002774,0.0002774
89,597.2,0.59405,0.31379,0.91819,0.99792,1,0.995,0.95291,0.3394,0.19729,0.7732,0.0002576,0.0002576,0.0002576
90,603.757,0.57536,0.3061,0.91158,0.99847,1,0.995,0.94315,0.36475,0.20318,0.77589,0.0002378,0.0002378,0.0002378
91,639.947,0.57417,0.29019,0.89381,0.99776,1,0.995,0.94762,0.34134,0.19987,0.77255,0.000218,0.000218,0.000218
92,646.268,0.55453,0.26925,0.89111,0.99716,1,0.995,0.94285,0.36117,0.2026,0.77574,0.0001982,0.0001982,0.0001982
93,652.33,0.5237,0.26119,0.87917,0.99738,1,0.995,0.95266,0.33384,0.1957,0.7727,0.0001784,0.0001784,0.0001784
94,658.635,0.53473,0.26696,0.8821,0.99696,1,0.995,0.95147,0.34234,0.19985,0.77361,0.0001586,0.0001586,0.0001586
95,665.006,0.5139,0.25982,0.87652,0.99709,1,0.995,0.95293,0.33541,0.20186,0.77183,0.0001388,0.0001388,0.0001388
96,671.219,0.51764,0.25682,0.87811,0.99686,1,0.995,0.95387,0.33205,0.1994,0.77204,0.000119,0.000119,0.000119
97,677.551,0.51232,0.25363,0.8743,0.99697,1,0.995,0.94852,0.35559,0.20343,0.77418,9.92e-05,9.92e-05,9.92e-05
98,683.604,0.48822,0.78937,0.84076,0.99764,1,0.995,0.95012,0.34609,0.19661,0.77282,7.94e-05,7.94e-05,7.94e-05
99,689.919,0.51054,0.25445,0.87146,0.99811,1,0.995,0.95112,0.33451,0.19207,0.77185,5.96e-05,5.96e-05,5.96e-05
100,696.26,0.51109,0.25367,0.87289,0.99815,1,0.995,0.95231,0.33323,0.19251,0.77092,3.98e-05,3.98e-05,3.98e-05
