epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1070.32,1.01396,0.52914,1.1924,0.9147,0.92918,0.97868,0.73682,0.46038,6.12769,0.55245,0.0018548,0.0018548,0.0018548
46,1092.4,0.98708,0.51437,1.16792,0.97114,0.98126,0.99419,0.80885,0.38477,2.41893,0.51364,0.0018515,0.0018515,0.0018515
47,1117.76,0.96523,0.51187,1.19638,0.84159,0.85948,0.93312,0.55672,0.74727,21.4771,0.89834,0.0018482,0.0018482,0.0018482
48,1140.22,0.92329,0.50111,1.17173,0.99536,0.99766,0.995,0.6666,0.56382,7.99294,0.56885,0.0018449,0.0018449,0.0018449
49,1169.13,0.97165,0.5136,1.18161,0.93379,0.93443,0.89518,0.14711,1.59101,4.79572,1.74206,0.0018416,0.0018416,0.0018416
50,1192.64,0.97416,0.53897,1.17959,0.99787,0.99766,0.995,0.67575,0.62302,0.3347,0.57734,0.0018383,0.0018383,0.0018383
51,1212.6,0.98666,1.49018,1.21121,0.99531,0.9935,0.995,0.80308,0.38663,8.48386,0.49132,0.001835,0.001835,0.001835
52,1235.92,1.05386,0.55716,1.24989,0.9945,0.99766,0.99493,0.61811,0.69751,3.95075,0.62707,0.0018317,0.0018317,0.0018317
53,1256.56,0.97381,0.52997,1.17757,0.99892,1,0.995,0.76629,0.46841,17.3662,0.52026,0.0018284,0.0018284,0.0018284
54,1272.36,0.9798,0.51292,1.19621,0.99907,1,0.995,0.79837,0.39977,1.27276,0.48041,0.0018251,0.0018251,0.0018251
55,1293.53,0.98841,0.50394,1.18257,0.99238,0.99766,0.995,0.79803,0.36764,20.5997,0.46804,0.0018218,0.0018218,0.0018218
56,1316.03,0.94079,0.46959,1.15392,0.99683,0.99766,0.995,0.80344,0.37581,1.56021,0.46946,0.0018185,0.0018185,0.0018185
