epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42141,0.85928,2.95209,1.08686,0.03954,1,0.71441,0.52948,0.35124,9.41402,0.43017,0.0002,0.0002,0.0002
2,6.71916,0.78381,1.1543,0.94789,0.97836,0.98595,0.9936,0.7864,0.32847,8.58888,0.41373,0.000415842,0.000415842,0.000415842
3,9.08978,0.71597,0.82957,0.9387,0.9953,0.99146,0.99495,0.86818,0.2815,4.23742,0.41228,0.000627328,0.000627328,0.000627328
4,11.2371,0.63719,0.70264,0.92631,0.99766,0.99933,0.995,0.87417,0.27414,4.036,0.41089,0.000834458,0.000834458,0.000834458
5,13.4181,0.66485,0.66084,0.91163,0.99826,1,0.995,0.87682,0.26688,3.33982,0.40504,0.00103723,0.00103723,0.00103723
6,15.4204,0.62103,0.63751,0.90852,0.99967,1,0.995,0.85852,0.26865,2.72779,0.40932,0.00123565,0.00123565,0.00123565
7,17.4429,0.63621,0.76942,0.91,0.99965,1,0.995,0.89729,0.23515,2.94812,0.39765,0.00142971,0.00142971,0.00142971
8,19.5783,0.64082,0.60931,0.90335,0.99952,0.99766,0.995,0.89363,0.23588,3.1665,0.39655,0.00161942,0.00161942,0.00161942
9,21.5158,0.61127,0.65801,0.89964,0.99766,0.99972,0.995,0.88644,0.25351,2.98842,0.40396,0.00180477,0.00180477,0.00180477
10,23.5666,0.57962,0.61474,0.89159,0.99977,1,0.995,0.88464,0.25188,2.88199,0.40191,0.0018218,0.0018218,0.0018218
11,25.4736,0.58602,0.5794,0.8998,0.9998,1,0.995,0.90595,0.22258,2.77836,0.39429,0.001802,0.001802,0.001802
12,27.4576,0.56422,0.54114,0.88223,0.9998,1,0.995,0.91467,0.20901,3.10294,0.39161,0.0017822,0.0017822,0.0017822
13,29.3566,0.53884,0.50099,0.87808,0.99978,1,0.995,0.91382,0.20135,2.86447,0.38957,0.0017624,0.0017624,0.0017624
14,31.3573,0.56517,0.5289,0.88454,0.99985,1,0.995,0.89572,0.2373,2.37256,0.39788,0.0017426,0.0017426,0.0017426
15,33.3425,0.57854,0.6893,0.88296,0.99984,1,0.995,0.91268,0.20963,1.87029,0.39216,0.0017228,0.0017228,0.0017228
16,35.3407,0.5481,0.49053,0.87987,0.99983,1,0.995,0.90983,0.20861,2.88343,0.39214,0.001703,0.001703,0.001703
17,37.3513,0.54734,0.48821,0.879,0.99981,1,0.995,0.89768,0.22362,3.27943,0.39375,0.0016832,0.0016832,0.0016832
18,39.3243,0.5557,1.77215,0.89416,0.99982,1,0.995,0.90884,0.20347,2.60202,0.38957,0.0016634,0.0016634,0.0016634
19,41.2908,0.50705,0.49603,0.87251,0.99979,1,0.995,0.91854,0.20046,2.18149,0.3889,0.0016436,0.0016436,0.0016436
20,43.3978,0.48539,0.42711,0.86034,0.99981,1,0.995,0.92158,0.19942,2.29495,0.38949,0.0016238,0.0016238,0.0016238
21,45.5916,0.45984,10.9719,0.79047,0.99985,1,0.995,0.92754,0.18787,1.84781,0.38811,0.001604,0.001604,0.001604
22,47.6311,0.51107,0.46566,0.88441,0.99983,1,0.995,0.9231,0.19319,1.93004,0.38752,0.0015842,0.0015842,0.0015842
23,49.9648,0.49055,0.43134,0.85303,0.99966,1,0.995,0.91237,0.19836,2.70368,0.38912,0.0015644,0.0015644,0.0015644
24,52.0389,0.50127,0.42429,0.86373,0.99955,1,0.995,0.92594,0.18599,3.01186,0.38671,0.0015446,0.0015446,0.0015446
25,54.3671,0.49034,0.41876,0.86414,0.99977,1,0.995,0.92104,0.18774,2.69926,0.38692,0.0015248,0.0015248,0.0015248
26,56.5431,0.48909,0.44395,0.86883,0.99983,1,0.995,0.9194,0.19035,3.28454,0.38754,0.001505,0.001505,0.001505
27,58.626,0.51473,0.41997,0.868,0.99978,1,0.995,0.91651,0.19898,3.1938,0.39028,0.0014852,0.0014852,0.0014852
28,61.2866,0.51125,0.43549,0.8674,0.99979,1,0.995,0.88692,0.24919,2.4175,0.40075,0.0014654,0.0014654,0.0014654
29,63.4432,0.51447,0.42515,0.87784,0.99984,1,0.995,0.92188,0.19476,0.9612,0.38822,0.0014456,0.0014456,0.0014456
30,65.5128,0.49841,0.40389,0.87095,0.99985,1,0.995,0.92941,0.18163,0.73262,0.38522,0.0014258,0.0014258,0.0014258
31,67.668,0.50049,0.40611,0.85939,0.99974,1,0.995,0.92588,0.18788,1.73137,0.38638,0.001406,0.001406,0.001406
32,69.7938,0.48454,0.40675,0.86836,0.99978,1,0.995,0.92077,0.19172,0.89386,0.3879,0.0013862,0.0013862,0.0013862
33,71.957,0.47805,0.41791,0.86633,0.99983,1,0.995,0.9278,0.18229,0.42155,0.38632,0.0013664,0.0013664,0.0013664
34,74.166,0.45649,0.3785,0.86302,0.99984,1,0.995,0.92748,0.1784,0.58206,0.38633,0.0013466,0.0013466,0.0013466
35,76.2624,0.47376,0.41504,0.89207,0.99981,1,0.995,0.93358,0.17691,1.12365,0.3858,0.0013268,0.0013268,0.0013268
36,79.0962,0.45798,0.38935,0.85095,0.99982,1,0.995,0.92185,0.18388,0.59989,0.38749,0.001307,0.001307,0.001307
37,82.0352,0.46333,0.36874,0.86163,0.99983,1,0.995,0.92318,0.18633,0.51628,0.38656,0.0012872,0.0012872,0.0012872
38,84.5338,0.43664,0.35375,0.84346,0.99984,1,0.995,0.92885,0.17302,0.51128,0.38437,0.0012674,0.0012674,0.0012674
39,86.8974,0.45829,0.36139,0.85374,0.99982,1,0.995,0.92438,0.18066,0.77854,0.38641,0.0012476,0.0012476,0.0012476
40,89.1134,0.4591,0.35403,0.85074,0.99975,1,0.995,0.92952,0.17999,1.30549,0.38609,0.0012278,0.0012278,0.0012278
41,91.2363,0.43962,0.35283,0.84168,0.99981,1,0.995,0.9399,0.17291,0.86943,0.38443,0.001208,0.001208,0.001208
42,93.486,0.45509,0.38878,0.85938,0.99978,1,0.995,0.93052,0.1872,0.6382,0.38641,0.0011882,0.0011882,0.0011882
